url,cocktail_no
https://w.namu.la/s/9a16516979937801655cfaf331169f62f0122e47b4470f74b2f3d3c49907ee8e3455479b7804f0856cdc9e0092bcf861c6d020ef1fafd80f33bee3ae43e8833847b84c26456293e7203d5319fd1ae56abe852a1d85f235e8fdf8bda7f3089bbe,60
https://w.namu.la/s/0d4eb38d8682ccf8b2618217e4d1827aa1c0378353165cd2fcce7ebf39f653c7c14f674e6d2b345d1341146208ce4627ae23fec41268c6aef4a65b53d75fe96cbac851e474566fb09356f361067819fa43dc69aec77185cc278e00951f73fc27cd36721fa0edacd008b12161100a5c68,61
https://w.namu.la/s/26c5a6c8487143aae1ce02df59513e1d4defee7b2cdbb22ce3bf77bf793c44b4bde588cb19421aafb2d43a667d686c54d8d52f50d776e19d907d2daa9a7a4948e5307c09709183d83ed7b5885093121d6bc36a84fd148e33a5c74026a17279e9,62
https://w.namu.la/s/54460a984365b6fbf85a08564c4bfca16565a9f06add6c02136bfd9bb174842166340130d0712747c0818d5fbece326ce57a8f310ead044617bdf2ec6df77916f5b871cc7601fcf96307a753bdb6c3e552e59febdeda30e28ee6c726ba8b67e6,63
https://w.namu.la/s/6af883f15bda84d46883f9edc8f83fde10a3730fe8bc0c6b3fc2b1dc6cef374e2c9cf7c676d492f340534d79b633bbbdda0d4b4585ea64d92cbd03a156303fe738bd64082eb7c40bcd45c0f4c9dba9b78897b6091c62fd8dc98d6a65484e1dd89ea708245548b2941ff5f5b8de3eca29,64
https://w.namu.la/s/da2f1a0f9a92633ade98711349f0a1db9c3962dfa657a3cb3ebfade0ac1bb85827fd7b6ef28aa550183ed6ffa6c50b14795e5dd7358499b2467f4fd1353b5737d1f443482e963871a2c06f6fe20645143fd261f3f70c210fd16f2c0fe2db1880,65
https://w.namu.la/s/e8bb640b5f0c355d2824cd0a56f82a4752f068ccbe0e8ef56121bdcd1b0283e5c301e9c3053ac8eb541b75ffc4c7e8f0a1033b14bee05ecbd0abb5d828fc30e3770d85320b1eaef8794ecdc0bc21ea6f9cdeb6a64989807c35947d76f41b24684e162ab7a072cec149e436a3a21fff96,66
https://w.namu.la/s/b63ad5c6e5c520d2b745f47fce4c44b7e4129e68f5eb943633cb604428567657be71ee9069546f7c3dd55f760191484c93b0c8cfc55ed417ffe0b330a8388c5a0804bfcd5dfcc5940cd03855c66652e39c6c86518d12a7bcc2994099373dcc86,67
https://w.namu.la/s/4861f8fd651e3d4927a127dbe1a32b398c149575a7bc0ca40b0c078fc42d0916ed1de6ac8ba5e36612004eb4ef9258a10416ef39ad2727d19a2dbb50ecdf2e3ba75f4d9c2fea781191283b95903d94430986241474404ab88a352a839af7bfa9,68
https://w.namu.la/s/b020e2faa3b45f423d24eac212a670c296556628b456c44ccac1fede99d479de6e14dcc0c658ac707db2ed26d7f3d6c4fa24ec0f1d80d28365494c243b393bd86dd1209d6f301eda724bb40db7cb0e3e3946a0aa1057dc46791e4c4ccc502827,69
https://w.namu.la/s/f4c73e70d7e4613546314e9328b64fbf3a686286bd60845ff918ddf99f3cf49224a195b7c394643126ef97efd4b0021543d3f88a13313b8cd4bf5cedae189d24665d9f9a43d520e493825e043664b61a1897f29c252ac19754c4223552fb1d7a,70
https://w.namu.la/s/9d8d252a0e6ecb1db10871d595d6660901de544f4664327a78a2fddea2ab1e7bec6e3f7d48644e23118d5e2dd908adb5afe2ce1b3e0c720a3b42ad8e3bd53ab54a2665f476588ecdf0b81176bcfb85d96b9877fbde6d021268e688645051706239ec8c020df3758fa9d885d58b2e572c,71
https://w.namu.la/s/1a73b23347b7d1c2909c49245906069c604d2184aa15437142a0a82dae423c2b6c223b4a3cfa5d35e8bf6a7ca2dcb7de732ffb48166bf7aed8b06841a299bf259c2b0fc49fc66d233498a996f34d48b5b1c350cd68e93ccac654facb8ed8638d1bb5538744fc8aaf6ef7e9f1519aed94,72
https://w.namu.la/s/108b327258227523771410480afa6b2dd159a36d6eb12a65cd1bf72c703f36adfbc37464904aeceaed552053acd164e2ffb676f4f43d7e08defcc445fa3bbfd8dd65c5471969a9988ffc64eb89bf58554c3c49c3e1a8a94230fc9200eebc5a58,73
https://w.namu.la/s/fe39357cbea7516b8db2f235e54a62eeacdcbb43a5253673b358b017c8ed20ac9a225716afa32e00488c9e41f4be71a1791c4543229220e96a099770ea17d7a61d99f1e4d682ac7f021e1491934ee68c0937408e8dba2312691a7e10ade5f5d7,74
https://w.namu.la/s/83793d8a73b979ebefb9d9ad81abbf2517ac74dc1770c019c2440a05adec8a411d9d4f3700fea89cab8909742a93c664db3fefbc2673eee498080c1dd6c514d1e2604e6ac63d7bfd8269f38f3ca941f376ba97dcf2cef51ea6bc8b259b601a9704632f695b1d72106659bd04fc9b6b4f,75
https://w.namu.la/s/3d667582a6096b20daa5a039caa671c9dcae6e79c719c2b0cea494bd74762b926bba3a0e178064ecf7b027819ae26533200086bc94ff05a752301eafd2ecba47a4e5b39fcb314b0d3262b70220268722e658ee2be8fe823e17c12605d7200ff6,76
